ExpDay,Treatment,mesocosm,Species,Genus,abund,size_fract,label,fun_grp,vol,biovolume
36,C,7,Cyclotella,Cyclotella,231.567567567568,small,BacCyc000_3193095,VI,1359.03125,314707.560810811
36,C,7,Quadrigula,Quadrigula,18.6081081081081,small,ChlQua000_2641259,IV,69.4288889,1291.94027047703
36,C,7,Oocystis,Oocystis,31.0135135135135,small,TreOoc000_2641454,IV,1180.14002970929,36600.2887592272
36,C,7,Sphaerocystis,Sphaerocystis,12.4054054054054,small,ChlSph000_2639562,I,262.068511908571,3251.06613421714
36,C,7,Gloeocapsa,Gloeocapsa,2.06756756756757,small,CyaGlo000_3217637,VII,NA,NA
36,C,7,Desmodesmus,Desmodesmus,8.27027027027027,small,ChlDes000_2652440,IV,225.120555543333,1861.80783773676
36,C,7,Elakatothrix gelatinosa,Elakatothrix,16.5405405405405,small,KleElagel_2641001,IV,157,2596.86486486487
36,C,7,Chlamydomonas,Chlamydomonas,14.472972972973,small,ChlChl000_5271004,I,512.692222223333,7420.18067569176
36,C,7,Sphaerocystis,Sphaerocystis,8.27027027027027,small,ChlSph000_2639562,I,262.068511908571,2167.37742281143
36,C,7,Cryptomonas,Cryptomonas,18.6081081081081,small,CryCry000_3202413,V,1644.2243666,30595.9047676784
36,C,7,Snowella,Snowella,6.2027027027027,small,CyaSno000_3217087,I,463.368055566667,2874.13429060946
36,C,7,Cryptomonas,Cryptomonas,2.06756756756757,small,CryCry000_3202413,V,1644.2243666,3399.54497418649
36,C,7,Scenedesmus arcuatus,Scenedesmus,2.06756756756757,small,ChlScearc_2640846,IV,586.357619042857,1212.33399612915
36,C,7,Ankyra judayi,Ankyra,2.06756756756757,small,ChlAnkjud_2642105,IV,112.8306667,233.285027095946
36,E,4,Desmodesmus,Desmodesmus,1139.94444444444,small,ChlDes000_2652440,IV,225.120555543333,256624.92662187
36,E,4,Elakatothrix gelatinosa,Elakatothrix,51.2777777777778,small,KleElagel_2641001,IV,157,8050.61111111111
36,E,4,Oocystis,Oocystis,23.6666666666667,small,TreOoc000_2641454,IV,1180.14002970929,27929.9807031198
36,E,4,Snowella,Snowella,47.3333333333333,small,CyaSno000_3217087,I,463.368055566667,21932.7546301556
36,E,4,Merismopedia,Merismopedia,35.5,small,CyaMer000_0000000,I,57.9755208278333,2058.13098938808
36,E,4,Rhodomonas,Rhodomonas,149.888888888889,small,CryRho000_3202546,I,96.67765625,14490.9064756944
36,E,4,Cyclotella,Cyclotella,130.166666666667,small,BacCyc000_3193095,VI,1359.03125,176900.567708333
36,E,4,Cryptomonas,Cryptomonas,15.7777777777778,small,CryCry000_3202413,V,1644.2243666,25942.2066730222
36,E,4,Tetraedron,Tetraedron,3.94444444444444,small,ChlTet000_2672378,IV,661.625,2609.74305555556
36,E,4,Chlamydomonas,Chlamydomonas,11.8333333333333,small,ChlChl000_5271004,I,512.692222223333,6066.85796297611
36,E,4,Ankyra judayi,Ankyra,15.7777777777778,small,ChlAnkjud_2642105,IV,112.8306667,1780.21718571111
36,E,4,Quadrigula,Quadrigula,15.7777777777778,small,ChlQua000_2641259,IV,69.4288889,1095.43358042222
36,E,4,Chrysochromulina,Chrysochromulina,15.7777777777778,small,PryChr000_3202213,I,4353.10583333375,68682.336481488
36,E,4,Coelastrum,Coelastrum,3.94444444444444,small,ChlCoe000_7749802,IV,586.13333335,2311.97037043611
36,E,4,Sphaerocystis,Sphaerocystis,11.8333333333333,small,ChlSph000_2639562,I,262.068511908571,3101.14405758476
36,D,13,Merismopedia,Merismopedia,80.6666666666667,small,CyaMer000_0000000,I,57.9755208278333,4676.69201344522
36,D,13,Desmodesmus,Desmodesmus,313.945945945946,small,ChlDes000_2652440,IV,225.120555543333,70675.6857619287
36,D,13,Elakatothrix gelatinosa,Elakatothrix,47.963963963964,small,KleElagel_2641001,IV,157,7530.34234234234
36,D,13,Rhodomonas,Rhodomonas,74.1261261261261,small,CryRho000_3202546,I,96.67765625,7166.34014076577
36,D,13,Cyclotella,Cyclotella,82.8468468468468,small,BacCyc000_3193095,VI,1359.03125,112591.453828829
36,D,13,Quadrigula,Quadrigula,10.9009009009009,small,ChlQua000_2641259,IV,69.4288889,756.837437558559
