ExpDay,Treatment,mesocosm,Genus,label,indiv_vol,biovolume
20,D,8,Cryptomonas,CryCry000_3202413,1570.97701650429,28277.5862970773
20,D,8,Quadrigula,ChlQua000_2641259,220.539804282003,6616.1941284601
20,D,8,Plagioselmis,CryRho000_3202546,77.4146568923807,464.487941354284
20,D,8,Oocystis,TreOoc000_2641454,211.647598311258,2539.7711797351
20,D,8,Desmodesmus,ChlDes000_2652440,40.687969226831,1953.02252288789
20,D,8,Chlamydomonas,ChlChl000_5271004,75.43548062953,452.61288377718
20,E,6,Quadrigula,ChlQua000_2641259,220.539804282003,74064.6176047062
20,E,6,Merismopedia,CyaMer000_0000000,0.116238921777732,211.399852406436
20,E,6,Desmodesmus,ChlDes000_2652440,40.687969226831,11351.9434142858
20,E,6,Cryptomonas,CryCry000_3202413,1570.97701650429,259734.86672871
20,E,6,Plagioselmis,CryRho000_3202546,77.4146568923807,22798.6164548061
20,E,6,Centrales,BacCyc000_3193095,5861.0694928046,681349.328538534
20,E,6,Sphaerocystis,ChlSph000_2639562,62.6538811980344,809.279298807944
20,E,6,Elakatothrix,KleElagel_2641001,62.6744384967178,5504.90484796171
20,E,6,Chrysochromulina,PryChr000_3202213,41.8317354512224,432.261266329298
20,E,6,Ankyra,ChlAnkjud_2642105,32.5417369775149,420.330769292901
20,E,6,Chlamydomonas,ChlChl000_5271004,75.43548062953,2143.62490788914
20,E,6,Oocystis,TreOoc000_2641454,211.647598311258,3827.29406946192
20,E,6,Snowella,CyaSno000_3217087,4.65095483030042,696.86806540668
20,I,14,Sphaerocystis,ChlSph000_2639562,62.6538811980344,970.006259809208
20,I,14,Desmodesmus,ChlDes000_2652440,40.687969226831,19077.8923097265
20,I,14,Plagioselmis,CryRho000_3202546,77.4146568923807,1712.18903307022
20,I,14,Centrales,BacCyc000_3193095,5861.0694928046,674075.794100392
20,I,14,Chlamydomonas,ChlChl000_5271004,75.43548062953,4838.40454362107
20,I,14,Merismopedia,CyaMer000_0000000,0.116238921777732,220.58063283189
